census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2022,24,110764,110764,310 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Kim Sing Restaurant,Gnd & Bmt 310 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,120,144.9636831172,-37.81726641507006,"-37.81726641507006, 144.9636831172"
2022,24,110765,110765,302-308 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Hahu,10 Bligh Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,22,144.9639140199169,-37.81718534175,"-37.81718534175, 144.9639140199169"
2022,24,110765,110765,302-308 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Esperienza,308 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,38,144.9639140199169,-37.81718534175,"-37.81718534175, 144.9639140199169"
2022,25,101788,101788,258-260 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafe Vicolino,Shop 17 & 19 Centre Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,44,144.96547439875002,-37.81664451891887,"-37.81664451891887, 144.96547439875002"
2022,25,101789,101789,252-254 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Jungle Juice Bar,20 Centre Place MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Outdoor,4,144.96559654045,-37.81660289619204,"-37.81660289619204, 144.96559654045"
2022,25,101789,101789,252-254 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Hell's Kitchen,Mezzanine 20A Centre Place MELBOURNE VIC 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,55,144.96559654045,-37.81660289619204,"-37.81660289619204, 144.96559654045"
2022,25,101789,101789,252-254 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Yen Sushi Noodle,12 Centre Place MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Outdoor,4,144.96559654045,-37.81660289619204,"-37.81660289619204, 144.96559654045"
2022,25,101789,101789,252-254 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Jungle Juice Bar,20 Centre Place MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,16,144.96559654045,-37.81660289619204,"-37.81660289619204, 144.96559654045"
2022,25,102079,102079,221-231 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Om Vegetarian,"Shop 4-5, Ground 227 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,48,144.9663261592912,-37.815840386000005,"-37.815840386000005, 144.9663261592912"
2022,25,109264,109264,45-63 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Drumplings,Part Ground 61 Swanston Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,12,144.96662326245,-37.81632686333168,"-37.81632686333168, 144.96662326245"
2022,25,110857,110857,233-239 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Maccaroni Trattoria Italiana,10-16 Manchester Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,22,144.96610328424998,-37.81599220386811,"-37.81599220386811, 144.96610328424998"
2022,26,102078,102078,189 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Box Seafood Restaurant,189 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,144.96770660785,-37.81546685879583,"-37.81546685879583, 144.96770660785"
2022,27,102065,102065,Alexandra Club 75-81 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Alexandra Club,81 Collins Street MELBOURNE VIC 3000,4530,Clubs (Hospitality),Seats - Indoor,160,144.97117801063422,-37.81440840355,"-37.81440840355, 144.97117801063422"
2022,28,102057,102057,1-9 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Howitt House,Kiosk Lobby 1 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,12,144.97371404676704,-37.81372275735,"-37.81372275735, 144.97371404676704"
2022,28,102061,102060,Collins Tower 25-45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Sofi's Lounge,Part Level 1 25-45 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,144.97262557265284,-37.81430518125,"-37.81430518125, 144.97262557265284"
2022,28,102061,102060,Collins Tower 25-45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),No35,Part Level 35 35 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,200,144.97262557265284,-37.81430518125,"-37.81430518125, 144.97262557265284"
2022,28,102063,102060,Collins Place 45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Botswana Butchery Melbourne,"Shop 66 - 66A, 45 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,180,144.97262557265284,-37.81430518125,"-37.81430518125, 144.97262557265284"
2022,28,102063,102060,Collins Place 45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Asian Pavilion,"Shop 52, 45 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,14,144.97262557265284,-37.81430518125,"-37.81430518125, 144.97262557265284"
2022,28,108978,108978,35-47 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Di Stasio Citta,45 Spring Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,85,144.97394786347434,-37.8141971859,"-37.8141971859, 144.97394786347434"
2022,31,102109,102109,Liberty Tower 612-624 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Southern Xross Kebabs,102 Spencer Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Outdoor,2,144.95435075675,-37.81867521100554,"-37.81867521100554, 144.95435075675"
2022,31,102109,102109,Liberty Tower 612-624 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),KFC,616 Collins Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,10,144.95435075675,-37.81867521100554,"-37.81867521100554, 144.95435075675"
2022,31,102113,102113,McPherson's Building 546-566 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Don Don Japanese Restaurant,"Lot 102, Level 1 564 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,41,144.95584419736474,-37.81824450365,"-37.81824450365, 144.95584419736474"
2022,31,105941,105941,577-583 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Bottom End,577-583 Little Collins Street MELBOURNE VIC 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,70,144.95560629865,-37.81782615791781,"-37.81782615791781, 144.95560629865"
2022,31,105942,105942,585-587 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Viet Boy 1996,Ground 585 Little Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,28,144.95544292850002,-37.817866889206215,"-37.817866889206215, 144.95544292850002"
2022,31,105945,105945,601-611 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Spicy Korea,"Unit 39A, Ground 601 Little Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,12,144.95490436805,-37.81802842820203,"-37.81802842820203, 144.95490436805"
2022,31,108968,108968,613-639 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),In Zone Cafe,"Shop 3, 625 Little Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,6,144.95436479768804,-37.81818416285,"-37.81818416285, 144.95436479768804"
